T:,5000,5250,5500,5750,6000,6250,6500,6750,7000,7250,7500,7750,8000,8250,8500,8750,9000,9250,9500,9750,10000,10250,10500,10750,11000,11250,11500,11750,12000,12250,12500,12750,13000,13250,13500,13750,14000,14250,14500,14750,15000,15250,15500,15750,16000,16250,16500,16750,17000,17250,17500,17750,18000,18250,18500,18750,19000,19250,19500,19750,20000
qcvz:,-5.823,-6.094,-6.508,-6.931,-7.284,-7.548,-7.738,-7.888,-8.027,-8.162,-8.295,-8.432,-8.572,-8.724,-8.885,-9.061,-9.263,-9.505,-9.798,-10.141,-10.534,-10.977,-11.499,-12.089,-12.791,-13.487,-14.215,-15.101,-15.382,-15.434,-15.537,-15.583,-15.632,-15.682,-15.732,-15.777,-15.827,-15.877,-15.927,-15.977,-16.085,-16.076,-16.126,-16.608,-16.598,-16.587,-16.575,-16.563,-16.551,-16.538,-16.526,-16.513,-16.501,-16.489,-16.477,-16.465,-16.453,-16.419,-16.419,-16.418,-16.352
2,5.925,5.712,5.418,5.127,4.884,4.704,4.579,4.48,4.391,4.308,4.223,4.136,4.048,3.954,3.854,3.745,3.619,3.464,3.28,3.061,2.802,2.495,2.145,1.753,1.244,0.645,-0.066,-0.753,-0.981,-1.029,-1.141,-1.19,-1.245,-1.307,-1.372,-1.432,-1.506,-1.586,-1.671,-1.765,-2.054,-1.972,-2.087,-4.308,-4.105,-3.901,-3.712,-3.533,-3.365,-3.207,-3.058,-2.919,-2.791,-2.672,-2.564,-2.464,-2.373,-2.228,-2.187,-2.146,-1.964
3,5.721,5.505,5.207,4.917,4.681,4.509,4.388,4.294,4.208,4.124,4.041,3.955,3.867,3.77,3.669,3.558,3.43,3.274,3.083,2.859,2.58,2.155,1.575,1.066,0.601,0.117,-0.438,-1.015,-1.189,-1.225,-1.291,-1.324,-1.357,-1.392,-1.427,-1.458,-1.492,-1.527,-1.562,-1.597,-1.671,-1.667,-1.702,-2.051,-2.043,-2.035,-2.028,-2.02,-2.012,-2.005,-1.998,-1.991,-1.985,-1.978,-1.972,-1.966,-1.96,-1.939,-1.942,-1.943,-1.9
4,5.712,5.496,5.196,4.903,4.665,4.491,4.369,4.274,4.187,4.104,4.021,3.936,3.849,3.754,3.654,3.544,3.417,3.262,3.071,2.848,2.573,2.198,1.749,1.323,0.88,0.43,-0.05,-0.614,-0.799,-0.837,-0.911,-0.945,-0.981,-1.018,-1.056,-1.089,-1.128,-1.167,-1.207,-1.247,-1.343,-1.329,-1.372,-1.93,-1.897,-1.866,-1.835,-1.805,-1.778,-1.752,-1.728,-1.705,-1.685,-1.665,-1.648,-1.632,-1.617,-1.584,-1.581,-1.578,-1.522
5,5.715,5.495,5.192,4.896,4.655,4.479,4.356,4.261,4.174,4.09,4.007,3.921,3.835,3.74,3.641,3.533,3.407,3.252,3.063,2.839,2.568,2.224,1.854,1.494,1.064,0.605,0.086,-0.69,-0.946,-0.992,-1.096,-1.14,-1.189,-1.24,-1.292,-1.339,-1.393,-1.449,-1.505,-1.563,-1.703,-1.677,-1.734,-2.251,-2.237,-2.223,-2.208,-2.192,-2.174,-2.156,-2.136,-2.115,-2.093,-2.069,-2.045,-2.019,-1.993,-1.938,-1.927,-1.914,-1.814
6,5.739,5.517,5.209,4.909,4.666,4.488,4.364,4.268,4.18,4.096,4.013,3.928,3.841,3.745,3.647,3.54,3.414,3.261,3.073,2.85,2.581,2.248,1.871,1.467,0.967,0.475,-0.068,-0.831,-1.122,-1.174,-1.299,-1.349,-1.403,-1.458,-1.513,-1.56,-1.613,-1.666,-1.718,-1.769,-1.88,-1.865,-1.911,-2.323,-2.313,-2.302,-2.291,-2.28,-2.269,-2.258,-2.247,-2.235,-2.223,-2.21,-2.197,-2.183,-2.168,-2.13,-2.124,-2.118,-2.037
7,5.72,5.497,5.187,4.884,4.637,4.458,4.333,4.236,4.148,4.064,3.981,3.895,3.808,3.713,3.615,3.507,3.382,3.229,3.041,2.818,2.553,2.235,1.862,1.446,0.933,0.386,-0.216,-0.978,-1.333,-1.39,-1.513,-1.56,-1.609,-1.658,-1.706,-1.746,-1.79,-1.834,-1.876,-1.917,-2.004,-1.996,-2.035,-2.418,-2.405,-2.393,-2.382,-2.372,-2.361,-2.352,-2.342,-2.333,-2.324,-2.316,-2.307,-2.298,-2.289,-2.263,-2.263,-2.262,-2.206
8,5.703,5.479,5.166,4.86,4.611,4.431,4.305,4.207,4.119,4.035,3.951,3.865,3.779,3.683,3.585,3.477,3.352,3.199,3.011,2.788,2.522,2.193,1.771,1.296,0.742,0.217,-0.363,-1.147,-1.503,-1.554,-1.654,-1.693,-1.734,-1.775,-1.815,-1.85,-1.888,-1.926,-1.963,-2,-2.079,-2.073,-2.11,-2.498,-2.483,-2.469,-2.456,-2.444,-2.432,-2.422,-2.412,-2.402,-2.394,-2.385,-2.377,-2.37,-2.362,-2.339,-2.341,-2.341,-2.294
9,5.656,5.433,5.119,4.811,4.56,4.378,4.251,4.154,4.065,3.98,3.897,3.81,3.723,3.628,3.53,3.422,3.296,3.142,2.954,2.73,2.459,2.103,1.645,1.164,0.638,0.134,-0.441,-1.296,-1.624,-1.67,-1.755,-1.791,-1.829,-1.867,-1.905,-1.938,-1.975,-2.013,-2.05,-2.088,-2.171,-2.163,-2.201,-2.696,-2.661,-2.63,-2.603,-2.579,-2.559,-2.54,-2.524,-2.51,-2.497,-2.485,-2.474,-2.463,-2.454,-2.428,-2.429,-2.429,-2.381
