T:,5000,5250,5500,5750,6000,6250,6500,6750,7000,7250,7500,7750,8000,8250,8500,8750,9000,9250,9500,9750,10000,10250,10500,10750,11000,11250,11500,11750,12000,12250,12500,12750,13000,13250,13500,13750,14000,14250,14500,14750,15000,15250,15500,15750,16000,16250,16500,16750,17000,17250,17500,17750,18000,18250,18500,18750,19000,19250,19500,19750,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,32000,34000,36000,38000,40000
qcvz:,-4.237,-4.286,-4.334,-4.38,-4.418,-4.459,-4.487,-4.506,-4.522,-4.533,-4.544,-4.551,-4.557,-4.564,-4.567,-4.577,-4.583,-4.593,-4.595,-4.601,-4.608,-4.617,-4.624,-4.638,-4.653,-4.671,-4.695,-4.722,-4.752,-4.788,-4.822,-4.86,-4.899,-4.942,-4.983,-5.028,-5.076,-5.127,-5.177,-5.227,-5.285,-5.347,-5.413,-5.488,-5.566,-5.651,-5.737,-5.831,-5.928,-6.03,-6.139,-6.252,-6.381,-6.522,-6.674,-6.833,-7.001,-7.183,-7.385,-7.624,-7.88,-9.048,-10.654,-11.03,-11.211,-11.393,-11.588,-11.797,-12.033,-12.332,-12.752,-13.76,-14.009,-14.202,-14.28,-14.346
3,7.541,7.488,7.434,7.381,7.333,7.282,7.241,7.208,7.176,7.15,7.125,7.104,7.082,7.062,7.046,7.024,7.007,6.988,6.974,6.96,6.947,6.931,6.918,6.901,6.885,6.867,6.84,6.817,6.792,6.763,6.736,6.706,6.672,6.64,6.61,6.577,6.542,6.502,6.467,6.432,6.391,6.342,6.297,6.244,6.19,6.134,6.073,6.011,5.944,5.878,5.806,5.733,5.65,5.56,5.465,5.365,5.261,5.15,5.026,4.882,4.724,3.987,2.945,2.638,2.498,2.364,2.226,2.083,1.933,1.733,1.425,0.394,0.212,0.073,0.03,-0.004
4,7.511,7.458,7.405,7.352,7.305,7.255,7.214,7.181,7.151,7.126,7.101,7.081,7.061,7.042,7.025,7.003,6.986,6.966,6.952,6.937,6.923,6.906,6.892,6.874,6.859,6.84,6.809,6.786,6.761,6.732,6.704,6.675,6.639,6.607,6.577,6.545,6.51,6.468,6.433,6.398,6.358,6.306,6.262,6.207,6.154,6.098,6.036,5.974,5.906,5.841,5.767,5.694,5.611,5.52,5.425,5.326,5.221,5.11,4.987,4.844,4.687,3.953,2.91,2.54,2.357,2.173,1.971,1.756,1.597,1.403,1.134,0.353,0.18,0.048,-0.009,-0.058
5,7.515,7.462,7.408,7.354,7.308,7.258,7.216,7.184,7.154,7.13,7.106,7.087,7.066,7.049,7.032,7.011,6.995,6.975,6.961,6.946,6.933,6.916,6.901,6.882,6.867,6.848,6.815,6.791,6.766,6.736,6.708,6.679,6.64,6.609,6.578,6.546,6.511,6.468,6.433,6.398,6.357,6.304,6.259,6.204,6.15,6.094,6.031,5.968,5.9,5.835,5.761,5.687,5.603,5.512,5.417,5.317,5.212,5.101,4.977,4.834,4.676,3.942,2.902,2.585,2.426,2.265,2.086,1.89,1.719,1.512,1.232,0.607,0.442,0.312,0.257,0.21
6,7.604,7.548,7.49,7.433,7.385,7.332,7.289,7.255,7.223,7.199,7.173,7.154,7.133,7.116,7.099,7.078,7.062,7.042,7.027,7.012,6.999,6.981,6.967,6.947,6.933,6.913,6.876,6.851,6.826,6.795,6.767,6.737,6.696,6.664,6.633,6.601,6.565,6.52,6.485,6.449,6.408,6.352,6.307,6.25,6.196,6.14,6.074,6.011,5.941,5.876,5.8,5.726,5.641,5.549,5.453,5.352,5.247,5.135,5.011,4.869,4.71,3.972,2.934,2.625,2.481,2.34,2.19,2.032,1.885,1.699,1.438,0.807,0.627,0.481,0.429,0.384
7,7.533,7.479,7.422,7.367,7.32,7.269,7.227,7.194,7.164,7.141,7.117,7.099,7.08,7.063,7.048,7.028,7.013,6.994,6.981,6.967,6.955,6.938,6.924,6.905,6.892,6.873,6.836,6.811,6.787,6.756,6.728,6.698,6.657,6.625,6.594,6.562,6.525,6.48,6.445,6.41,6.368,6.311,6.266,6.209,6.155,6.098,6.033,5.969,5.898,5.832,5.756,5.682,5.596,5.503,5.407,5.305,5.199,5.086,4.961,4.817,4.657,3.917,2.885,2.617,2.494,2.375,2.249,2.117,1.976,1.793,1.526,0.734,0.507,0.341,0.287,0.242
8,7.473,7.42,7.364,7.31,7.264,7.215,7.174,7.142,7.113,7.092,7.069,7.052,7.034,7.018,7.004,6.985,6.971,6.953,6.941,6.928,6.917,6.901,6.888,6.87,6.857,6.838,6.802,6.778,6.754,6.723,6.695,6.666,6.624,6.593,6.562,6.529,6.493,6.448,6.412,6.377,6.336,6.278,6.233,6.175,6.121,6.064,5.998,5.934,5.863,5.796,5.719,5.644,5.558,5.464,5.367,5.264,5.157,5.043,4.918,4.773,4.611,3.87,2.841,2.612,2.508,2.408,2.296,2.176,2.025,1.825,1.529,0.618,0.382,0.205,0.147,0.1
9,7.331,7.281,7.229,7.178,7.135,7.089,7.051,7.023,6.996,6.976,6.956,6.941,6.924,6.911,6.898,6.88,6.868,6.852,6.841,6.829,6.82,6.805,6.793,6.776,6.764,6.746,6.712,6.689,6.665,6.636,6.608,6.579,6.539,6.508,6.477,6.444,6.408,6.364,6.329,6.293,6.252,6.196,6.151,6.094,6.039,5.982,5.916,5.852,5.781,5.714,5.637,5.562,5.475,5.381,5.283,5.18,5.072,4.957,4.831,4.684,4.521,3.781,2.756,2.544,2.443,2.341,2.225,2.092,1.916,1.675,1.327,0.428,0.196,0.021,-0.036,-0.082
10,7.355,7.304,7.251,7.2,7.156,7.109,7.071,7.042,7.015,6.996,6.975,6.96,6.944,6.93,6.918,6.9,6.888,6.872,6.862,6.85,6.841,6.826,6.815,6.798,6.786,6.769,6.734,6.711,6.687,6.657,6.63,6.6,6.56,6.528,6.498,6.465,6.429,6.384,6.349,6.313,6.271,6.215,6.169,6.111,6.056,5.998,5.932,5.866,5.795,5.727,5.65,5.573,5.486,5.39,5.291,5.187,5.079,4.963,4.836,4.688,4.525,3.784,2.756,2.531,2.421,2.31,2.184,2.043,1.873,1.647,1.315,0.378,0.141,-0.039,-0.098,-0.146
