Name abbreviated,Name,SDSS Name,Type,Mass,log(q),log(Al/He),error log(Al/He),log(Ti/He),error log(Ti/He),log(Ca/He),error log(Ca/He),log(Ni/He),error log(Ni/He),log(Fe/He),error log(Fe/He),log(Cr/He),error log(Cr/He),log(Mg/He),error log(Mg/He),log(Si/He),error log(Si/He),log(Na/He),error log(Na/He),log(O/He),error log(O/He),log(C/He),error log(C/He),log(N/He),error log(N/He)
J0002+3209,J000215.65+320914.1,SDSSJ0002+3209,He,0.6,-5.34,0,0,0,0,-9.1,0.2,0,0,-7.9,0.2,0,0,-7.4,0.2,0,0,0,0,0,0,0,0,0,0
J0004+0819,J000418.68+081929.9,SDSSJ0004+0819,He,0.6,-5.51,0,0,0,0,-8.8,0.2,0,0,-7.6,0.4,0,0,-7.2,0.2,0,0,-8.88,0.407263776,0,0,0,0,0,0
J0006+0520,J000614.53+052039.0,SDSSJ0006+0520,He,0.6,-5.27,0,0,0,0,-9.8,0.2,0,0,-9.6,0.3,0,0,-8.6,0.5,0,0,0,0,0,0,0,0,0,0
J0010-0430,J001052.56-043014.3,SDSSJ0010-0430,He,0.6,-5.32,0,0,0,0,-8.5,0.1,0,0,-7,0.1,0,0,-6.7,0.1,0,0,0,0,0,0,0,0,0,0
J0013+1109,J001309.43+110949.0,SDSSJ0013+1109,He,0.6,-5.44,0,0,0,0,-9.2,0.4,0,0,-8,0.5,0,0,-7.5,0.4,0,0,0,0,0,0,0,0,0,0
J0019+2209,J001949.26+220926.5,SDSSJ0019+2209,He,0.6,-5.38,0,0,0,0,-9.7,0.2,0,0,-8.5,0.2,0,0,-8.4,0.2,0,0,-9.78,0.153179119,0,0,0,0,0,0
J0044+0418,J004451.69+041819.2,SDSSJ0044+0418,He,0.6,-5.3,0,0,0,0,-9.8,0.1,0,0,-8.4,0.2,0,0,-8.3,0.3,0,0,0,0,0,0,0,0,0,0
J0046+2717,J004634.22+271737.6,SDSSJ0046+2717,He,0.6,-5.32,0,0,0,0,-7.2,0.2,0,0,-6.3,0.3,-7.35,0.251779577,-5.4,0.2,0,0,0,0,0,0,0,0,0,0
J0047+1628,J004757.07+162836.5,SDSSJ0047+1628,He,0.6,-5.51,0,0,0,0,-8,0.2,0,0,-6.7,0.2,-8.85,0.192196419,-6.8,0.2,0,0,-8.98,0.171579321,0,0,0,0,0,0
J0052+1846,J005247.16+184649.5,SDSSJ0052+1846,He,0.6,-5.49,0,0,0,0,-9,0.3,0,0,-7.5,0.3,-9.55,0.325930142,-7.1,0.2,0,0,0,0,0,0,0,0,0,0
J0053+3115,J005304.15+311555.8,SDSSJ0053+3115,He,0.6,-5.41,0,0,0,0,-8.8,0.5,0,0,-7.6,0.5,0,0,-7.6,0.5,0,0,0,0,0,0,0,0,0,0
J0056+2453,J005649.27+245335.4,SDSSJ0056+2453,He,0.6,-5.41,0,0,0,0,-10.2,0.5,0,0,-9.1,0.5,0,0,-9,0.5,0,0,0,0,0,0,0,0,0,0
J0108-0537,J010825.79-053755.6,SDSSJ0108-0537,He,0.6,-5.46,0,0,0,0,-8.5,0.3,0,0,-7.9,0.3,0,0,-8.2,0.3,0,0,-8.98,0.136011257,0,0,0,0,0,0
J0114+3505,J011421.17+350547.1,SDSSJ0114+3505,He,0.6,-5.43,0,0,0,0,-8.4,0.1,0,0,-7.1,0.1,-8.95,0.221170236,-7,0,0,0,0,0,0,0,0,0,0,0
J0116+2050,J011646.10+205001.9,SDSSJ0116+2050,He,0.6,-5.42,0,0,-9.73,0.120350181,-8.8,0.1,-8.75,0.120350181,-7.6,0.1,0,0,-7.4,0.1,0,0,-9.28,0.083571324,0,0,0,0,0,0
J0117+0021,J011759.81+002138.1,SDSSJ0117+0021,He,0.6,-5.3,0,0,0,0,-8.8,0.1,0,0,-7.6,0.1,-9.48,0.117328226,-7.2,0.1,0,0,0,0,0,0,0,0,0,0
J0126+2534,J012620.48+253433.6,SDSSJ0126+2534,He,0.6,-5.37,0,0,0,0,-9.5,0.3,0,0,-8.3,0.5,0,0,-8.3,0.5,0,0,0,0,0,0,0,0,0,0
J0135+1302,J013504.11+130240.4,SDSSJ0135+1302,He,0.6,-5.38,0,0,0,0,-9.2,0.1,0,0,-8.1,0.3,0,0,-7.9,0.2,0,0,0,0,0,0,0,0,0,0
J0143+0113,J014300.52+011356.8,SDSSJ0143+0113,He,0.6,-5.36,0,0,0,0,-8.2,0.1,0,0,-7,0.1,0,0,-6.6,0.1,0,0,-8.38,0.077063317,0,0,0,0,0,0
