wdid,name,icrsra,icrsdec,spectype,teff,logg,Dpc,V,su
GD 50,Gaia EDR3 3251244858154433536,03 48 50.28,-00 58 34.90,DA,37537.0,9.093,31.04,13.99,13.396
V* CL Oct,Gaia EDR3 4613612951211823104,03 17 14.83,-85 32 25.75,DA,33000.0,,29.38,13.66,
WD 1658+440,Gaia EDR3 1358301480583401728,16 59 48.38,44 01 05.62,DAH,28169.0,9.186,31.65,15.02,14.321
EGGR 70,Gaia EDR3 3754712881779364992,10 33 42.39,-11 41 38.79,DA,26310.0,7.92,35.72,13.0,
* alf CMa B,Gaia EDR3 2947050466531873024,06 45 08.79,-16 43 15.36,DA,26083.0,8.61,2.67,8.44,
CD-38 10980,Gaia EDR3 6018034958869558912,16 23 33.94,-39 13 46.15,DA,25954.0,7.96,12.91,11.04,
2MASS J19200281-3611025,Gaia EDR3 6742379406616165376,19 20 02.97,-36 11 04.75,DB,25383.0,7.86,37.13,13.6,
WD J0902-041,Gaia EDR3 5762406957886626816,09 02 17.29,-04 06 55.38,DA,24550.0,7.89,37.92,12.4,
Gaia DR2 2024985481361040384,Gaia EDR3 2024985481361040384,19 36 18.57,26 32 55.73,DA,24380.2707,8.529566,30.14,,
LAMOST J053931.86+285456.66,LAMOST J053931.86+285456.66,05 39 31.86,28 54 56.66,DA,23865.0,8.63,15.0,,
LAMOST J063517.47+054917.94,LAMOST J063517.47+054917.94,06 35 17.47,05 49 17.94,DA,22885.0,7.48,38.0,,
GD 125,Gaia EDR3 730459763934332416,10 54 43.14,27 06 56.50,DA,22580.8799,8.393396,37.75,14.12,13.86
V* V727 Car,Gaia EDR3 5231870985222281088,10 44 09.35,-69 18 17.82,DA,22570.0,7.84,29.26,13.09,
Gaia DR2 4590489981163833984,Gaia EDR3 4590489981163833984,18 09 19.54,29 57 22.04,DA,22514.6663,8.384231,24.45,,
V* BV Cet,Gaia EDR3 2377863773908424448,00 43 45.82,-10 00 27.17,DBA,22247.0,8.93,31.13,,14.242
Gaia DR2 406775841506041344,Gaia EDR3 406775841506041344,01 29 24.05,51 08 45.20,DA,21853.3206,7.998572,38.37,13.536,13.309
GD 140,Gaia EDR3 4019458647338779648,11 37 04.92,29 47 58.09,DA,21827.0,8.549,15.69,12.49,12.29
Gaia DR2 5473389537569200896,Gaia EDR3 5473389537569200896,10 10 47.78,-24 27 11.79,DC,21770.0,8.918,39.70,15.2,
NAME H PER1166,Gaia EDR3 458558784733311232,02 17 33.86,57 06 46.97,DA,21463.6335,7.987181,39.75,,
LAWD 23,Gaia EDR3 943770757800160384,06 47 37.68,37 30 42.06,DA,21161.0,8.187,17.08,12.06,12.069
LAMOST J054613.53+255031.70,LAMOST J054613.52+255031.7,05 46 13.53,25 50 31.70,DA,20760.0,7.95,27.0,,
LAWD 52,Gaia EDR3 1686708050268594944,13 38 49.21,70 17 07.25,DAZ,20622.7009,7.948771,26.50,12.77,
WD 0525+526,Gaia EDR3 263082591016645504,05 29 50.89,52 39 44.62,DA,20617.5843,9.09628,39.12,,
GD 462,Gaia EDR3 1053211437944753024,10 09 36.12,63 58 36.02,DA,20305.0,8.006,39.40,13.692,13.614
HD 340611,Gaia EDR3 1831553382794173824,20 34 21.41,25 03 40.74,DA,20295.1236,7.945533,14.83,11.55,
Gaia DR2 4314903198513595776,Gaia EDR3 4314903198513595776,19 29 38.67,11 17 53.97,DA,20220.0013,7.936906,36.60,,
LAMOST J033149.69+305944.92,LAMOST J033149.68+305944.9,03 31 49.69,30 59 44.92,DA,20152.0,8.57,25.0,,
L 270-31,Gaia EDR3 5945252202546434432,17 47 47.01,-52 07 12.60,DA,20000.0,8.0,38.92,15.62,
PG 0945+246,Gaia EDR3 643183348419998336,09 48 46.56,24 21 24.15,DA+DAXP,19678.0,8.378,36.20,14.25,14.036
EGGR 57,Gaia EDR3 5725503293214289280,07 55 08.88,-14 45 55.91,DA,19440.0,7.92,39.14,13.56,
LP 426-26,Gaia EDR3 6578616598584224640,21 38 49.29,-40 41 26.93,DA,19211.0,7.959,32.43,13.49,
WD 2051-208,Gaia EDR3 6857295585945072128,20 54 42.88,-20 39 25.76,DA,19083.0,9.012,31.28,15.06,
LAMOST J033253.91+284006.9,LAMOST J033253.91+284006.9,03 32 53.91,28 40 06.91,MagneticWD,19000.0,9.84,27.0,,
GD 419,Gaia EDR3 572487740053132288,01 41 27.65,83 35 00.19,DA,18925.3485,8.047664,27.10,,
V* EG UMa,Gaia EDR3 1548104507825815296,12 15 43.94,52 30 59.18,DA+dM,18840.0,8.3,28.61,13.23,14.672
LAWD 11,Gaia EDR3 104648944047154432,02 08 47.71,25 14 08.05,DA,18836.0,7.566,39.08,,13.331
Feige 22,Gaia EDR3 2516322146457318144,02 30 16.71,05 15 50.30,DA,18372.0,7.848,26.52,12.78,12.758
WD 1049-158,Gaia EDR3 3557394009663078912,10 52 20.36,-16 08 03.60,DA,18085.0,8.321,38.69,14.357,
GJ 799.1,Gaia EDR3 6857939315643803776,20 42 35.16,-20 04 37.47,DA,17872.0,7.837,21.77,12.4,
EGGR 75,Gaia EDR3 861050512312844672,11 07 42.36,59 58 26.99,DA,17766.0,8.089,34.49,13.74,13.79
GJ 838.4,Gaia EDR3 2693940725141960192,21 52 25.40,02 23 14.77,DA,17753.0,8.065,22.56,12.74,13.845
GD 229,Gaia EDR3 2053953008490747392,20 12 22.31,31 13 50.36,DBP,17663.2014,8.848097,30.76,14.85,14.26
LAWD 88,Gaia EDR3 2300234782654298624,21 33 45.81,83 03 41.51,DA,17312.3009,7.922936,26.42,,
NLTT 47551,Gaia EDR3 2140481412496465152,19 12 48.83,53 43 15.62,DA,17310.2825,8.298696,22.17,13.18,
Ton S 56,MCT 2231-2935,22 34 26.97,-29 19 45.16,DA,17284.0,8.195,0.0,15.71,
Gaia DR2 3209308900555979776,Gaia EDR3 3209308900555979776,05 24 36.26,-05 35 12.84,DA,17233.0,8.023,35.74,13.89,13.862
V* UZ Sex,Gaia EDR3 3831059120921201280,10 28 34.93,-00 00 30.60,DA+M,17210.0,7.96,40.00,13.88,14.486
EGGR 314,Gaia EDR3 452244667407804800,02 36 19.88,52 44 09.75,DA,17152.9778,8.322069,28.84,,
Gaia DR2 4604247070649603584,Gaia EDR3 4604247070649603584,17 53 52.11,33 06 23.12,DA,17123.3011,7.986772,35.70,13.24,
EGGR 140,Gaia EDR3 6424566979354709248,20 44 21.98,-68 05 25.01,DA,17105.0,8.59,19.57,13.25,
* omi02 Eri B,40 Eri B,04 15 21.36,-07 39 21.60,DA,17099.0,7.95,4.98,9.52,
Lan 51,Gaia EDR3 2176116580055936512,21 18 56.11,54 12 44.34,DA,16533.0,8.164,17.31,12.35,13.381
NAME CASE 3,Gaia EDR3 1923682286712356992,23 31 36.03,41 01 29.11,DA,16370.3216,7.980926,35.69,,
G 233-2,Gaia EDR3 2198431172852758656,22 11 54.37,56 49 48.83,DA,16361.1414,8.052765,37.83,12.78,
WD 2306-220,Gaia EDR3 2386223463892847872,23 08 41.12,-21 45 01.16,DA3.0,16285.0,7.86,32.77,,
GALEX J081237.8+173701,Gaia EDR3 657056745624156416,08 12 37.89,17 37 00.03,DA,16273.0,8.075,27.04,13.46,14.01
CPD-69 177,Gaia EDR3 4646535078125821568,03 10 31.14,-68 36 05.03,DA,16246.0,8.14,10.40,11.38,
EGGR 185,Gaia EDR3 4021565827014024576,11 45 56.48,31 49 26.49,DA,16053.0,8.026,31.33,13.65,13.772
GJ 2147,Gaia EDR3 6749419923164242816,20 10 56.43,-30 13 10.62,DA,16041.0,7.95,16.21,12.24,
WD 0615-59,Gaia EDR3 5482551252566796928,06 16 14.16,-59 12 32.40,DB,15746.0,8.04,36.06,14.09,
EGGR 370,Gaia EDR3 1638563322306634368,17 13 05.92,69 31 20.02,DA,15664.5307,7.99761,26.25,,13.434
LAWD 24,Gaia EDR3 5536077746353130240,07 33 37.91,-42 53 46.42,DA,15570.0,8.12,33.70,14.16,
LAWD 86,Gaia EDR3 2274076297221555968,21 26 57.87,73 38 39.64,DA,15553.0,7.945,22.23,12.88,13.311
Gaia DR2 5753337533146097280,Gaia EDR3 5753337533146097280,08 25 32.28,-07 28 22.70,DA,15550.0,7.97,35.48,13.91,
BPM 24602,Gaia EDR3 5923906524348891904,17 02 56.33,-53 14 38.92,DA,15507.0,8.07,26.69,13.47,
WD 0415-594,Gaia EDR3 4678664766393827328,04 16 29.95,-59 17 59.99,DA,15424.0,7.98,18.32,12.5,
WD 0034-602,Gaia EDR3 4906743988126708992,00 36 22.85,-59 55 25.57,DA,15239.0,8.64,22.93,14.08,
Gaia DR2 6963383233077632,Gaia EDR3 6963383233077632,03 03 50.81,06 07 49.62,DX,15150.282,8.729013,31.32,,14.784
EGGR 76,Gaia EDR3 3788194488314248832,11 07 59.89,-05 09 33.12,DA,15141.0,7.85,24.82,12.92,
GD 219,Gaia EDR3 4319908862597055232,19 21 40.38,14 40 40.19,DA,15135.0994,8.15305,19.88,13.0,13.51
PG 1601+581,Gaia EDR3 1622697949337226112,16 02 41.95,57 58 16.16,DA,15002.0,7.967,32.36,14.3,14.41
LAWD 33,Gaia EDR3 5353122722363361920,10 55 12.89,-55 19 01.16,DA,14770.0,8.0,35.35,14.32,
WD 0503+147,Gaia EDR3 3392181976588782336,05 06 15.82,14 48 28.98,DBA,14760.9095,7.920862,38.58,13.8,14.958
