wdid,name,icrsra,icrsdec,spectype,teff,logg,Dpc,V,su
* alf CMa B,Gaia EDR3 2947050466531873024,06 45 08.79,-16 43 15.36,DA,26083.0,8.61,2.67,8.44,
* omi02 Eri B,40 Eri B,04 15 21.36,-07 39 21.60,DA,17099.0,7.95,4.98,9.52,
2MASS J02230030+5544272,Gaia EDR3 457474219590579328,02 23 00.45,55 44 25.94,DA,6868.80544,8.306656,38.30,,
2MASS J02494417+3307251,Gaia EDR3 139623068897753856,02 49 44.43,33 07 29.83,DA,5715.0,7.994,35.71,,18.47
2MASS J03432310+1958133,Gaia EDR3 63126196662620416,03 43 23.21,19 58 16.19,DA,7051.78628,8.424947,20.76,,
2MASS J04325585-3557289,Gaia EDR3 4867574023826934272,04 32 56.26,-35 57 28.38,DA,5153.0,8.0,26.30,17.03,
2MASS J04332980+0414477,Gaia EDR3 3282093301842469376,04 33 29.90,04 14 40.58,DA,4900.99215,8.015474,24.30,,
2MASS J04555136+3840505,Gaia EDR3 199060743352070528,04 55 51.71,38 40 50.03,DA,4999.82762,7.992796,32.26,,
2MASS J05155350+2839169,Gaia EDR3 3422405214775411840,05 15 53.75,28 39 15.17,DAH,6391.24475,8.178033,30.06,,
2MASS J06023672+0904237,Gaia EDR3 3329569015639064192,06 02 36.82,09 04 19.67,DA,5848.68601,7.898708,37.30,,
2MASS J06322939+2230050,Gaia EDR3 3382277296672027136,06 32 29.20,22 30 02.10,DA,5369.12663,7.910026,37.19,,
2MASS J06443019+2731115,Gaia EDR3 3386162214851684864,06 44 30.00,27 31 10.67,DA,6961.0,8.388,38.58,,17.72
2MASS J06503681+1657538,Gaia EDR3 3358418684623972864,06 50 36.60,16 57 50.83,DA,5034.31886,8.026335,29.19,,
2MASS J06533021-3954292,Gaia EDR3 5564029702750970112,06 53 30.12,-39 54 25.56,DA,7100.0,8.03,24.79,15.46,
2MASS J06533533-3955335,Gaia EDR3 5564028981196462336,06 53 35.25,-39 55 29.66,DA,6360.0,8.14,24.84,16.07,
2MASS J07535663-2524016,Gaia EDR3 5602379190880667904,07 53 56.27,-25 23 58.18,DA,4975.0,7.937,17.82,16.27,
2MASS J10143597+4226228,Gaia EDR3 805470233890349440,10 14 36.16,42 26 20.40,DA,7799.0,8.458,31.26,,16.76114
2MASS J10221035+4612491,Gaia EDR3 833470465721350784,10 22 10.37,46 12 47.40,DA,7035.67,8.16132,32.95,,16.94785
2MASS J10280776-6327128,2MASS J10280776-6327128,10 28 07.76,-63 27 12.85,DAZ?,,,20.75,,
2MASS J10480182+6334487,Gaia EDR3 1055313016981775488,10 48 01.22,63 34 46.55,DA,5151.0,7.95,34.34,,19.426
2MASS J11094130+5512289,Gaia EDR3 843807902246527232,11 09 41.45,55 12 25.78,DA,7050.0,8.585,35.80,,17.83008
2MASS J11153694+0033171,Gaia EDR3 3810099989754827136,11 15 36.99,00 33 13.07,DA,4989.0,7.524,39.89,,19.522
2MASS J11505233+6831161,Gaia EDR3 1058284412796260480,11 50 52.40,68 31 15.31,DA,6709.0,8.269,17.09,15.25,16.01225
2MASS J13002125+0130453,Gaia EDR3 3690395231125833600,13 00 20.86,01 30 47.71,DA,5385.0,7.992,35.97,,19.105
2MASS J18571395+2026292,Gaia EDR3 4518917168694695168,18 57 13.92,20 26 23.59,DA+DC?,6650.0,8.296,32.61,,17.514
2MASS J19131653+2949275,Gaia EDR3 2039140284770609152,19 13 16.49,29 49 32.87,DA,6134.89114,8.120674,37.08,,
2MASS J19492350+0747318,Gaia EDR3 4298029268399256704,19 49 23.64,07 47 29.71,DA,9216.08052,8.075999,36.53,,
2MASS J20124874-4659024,Gaia EDR3 6672244029484054272,20 12 49.05,-46 59 05.84,DA8.5,5827.0,,27.76,,
2MASS J22415762+1332390,Gaia EDR3 2731866347221858432,22 41 57.70,13 32 32.81,DA,5992.0,8.258,35.69,,18.43482
2MASS J23095848+5506491,Gaia EDR3 1996725077535283200,23 09 59.29,55 06 50.20,DA,5517.44761,8.104933,16.42,,
BD-07 3632,Gaia EDR3 3630035787972473600,13 30 12.44,-08 34 37.03,DA,14714.0,8.0,16.09,12.33,
BPM 24602,Gaia EDR3 5923906524348891904,17 02 56.33,-53 14 38.92,DA,15507.0,8.07,26.69,13.47,
CD-32 5613,Gaia EDR3 5639391810273308416,08 41 31.08,-32 56 11.38,DA,9093.0,7.76,8.52,11.86,
CD-38 10980,Gaia EDR3 6018034958869558912,16 23 33.94,-39 13 46.15,DA,25954.0,7.96,12.91,11.04,
CPD-69 177,Gaia EDR3 4646535078125821568,03 10 31.14,-68 36 05.03,DA,16246.0,8.14,10.40,11.38,
EGGR 117,Gaia EDR3 4458207634145130368,16 11 25.62,13 22 09.23,DA,8529.0,8.326,22.27,15.103,15.354
EGGR 120,Gaia EDR3 1326398777041821568,16 39 27.80,33 25 14.78,DA,9816.0,7.983,30.50,14.65,15.045
EGGR 126,Gaia EDR3 4257461275049675008,18 29 09.88,-04 29 40.24,DA,9125.0,8.0,25.80,14.57,
EGGR 130,Gaia EDR3 4320094439580536320,19 13 38.69,13 36 24.47,DA,13645.8676,7.972408,33.73,14.0,
EGGR 140,Gaia EDR3 6424566979354709248,20 44 21.98,-68 05 25.01,DA,17105.0,8.59,19.57,13.25,
EGGR 155,Gaia EDR3 2836609093355562496,22 49 06.15,22 36 32.94,DA,10072.0,8.607,17.83,14.36,14.73166
EGGR 161,Gaia EDR3 2865535629374939520,23 32 04.05,26 58 46.58,DAH,9627.0,8.448,29.14,15.29,15.729
EGGR 162,Gaia EDR3 2871730307948650368,23 43 50.45,32 32 45.77,DA,12674.0,8.008,18.60,12.93,14.301
EGGR 183,Gaia EDR3 3875652014008894720,10 15 02.30,08 06 38.32,DA,6574.57359,7.931709,29.49,16.03,16.78444
EGGR 185,Gaia EDR3 4021565827014024576,11 45 56.48,31 49 26.49,DA,16053.0,8.026,31.33,13.65,13.772
EGGR 196,Gaia EDR3 4462612140287443840,16 41 36.63,15 12 27.20,DA,7363.0,7.906,31.05,15.66,16.295
EGGR 298,Gaia EDR3 1281989124439286912,14 58 06.66,29 37 19.94,DAZ,7320.32829,7.97381,28.57,15.6,16.158
EGGR 30,Gaia EDR3 46896958359881728,04 10 10.40,18 02 22.43,DA,12958.2944,7.999732,34.11,14.14,
EGGR 302,Gaia EDR3 2735175263041913088,22 09 47.38,14 29 51.13,DA,7586.00927,8.151428,27.17,15.61,16.136
EGGR 314,Gaia EDR3 452244667407804800,02 36 19.88,52 44 09.75,DA,17152.9778,8.322069,28.84,,
EGGR 324,Gaia EDR3 696261653777188864,09 33 40.86,29 11 20.48,DA,8254.22815,8.475686,29.44,15.98,16.40054
EGGR 328,Gaia EDR3 4435778215414219520,16 38 54.14,05 40 34.83,DA,8497.27083,8.524538,36.03,15.76,
EGGR 342,Gaia EDR3 1100655330324351616,06 53 26.36,64 03 35.67,DA,5857.66104,8.103207,27.90,16.65,
EGGR 353,Gaia EDR3 863131372427958912,11 45 44.09,63 05 53.64,DA,5524.0,7.928,24.01,,17.854
EGGR 360,Gaia EDR3 3725570772761744384,13 47 23.40,10 21 35.76,DA+DC?,6995.0,8.008,20.81,15.08,15.79
EGGR 370,Gaia EDR3 1638563322306634368,17 13 05.92,69 31 20.02,DA,15664.5307,7.99761,26.25,,13.434
EGGR 377,Gaia EDR3 1789361097242243584,21 02 02.53,19 12 52.80,DA,6621.69324,8.016353,32.77,16.36,
