wdid,name,icrsra,icrsdec,spectype,teff,logg,Dpc,V,su
2MASS J19200281-3611025,Gaia EDR3 6742379406616165376,19 20 02.97,-36 11 04.75,DB,25383.0,7.86,37.13,13.6,
EGGR 508,Gaia EDR3 2414888694102153088,00 03 31.90,-16 43 58.40,DBA,13880.0,8.63,38.08,14.69,
EGGR 583,Gaia EDR3 1800298527816525824,21 49 54.87,28 16 58.38,DB,11712.3482,8.031433,34.75,14.68,14.521
GD 229,Gaia EDR3 2053953008490747392,20 12 22.31,31 13 50.36,DBP,17663.2014,8.848097,30.76,14.85,14.26
GD 325,Gaia EDR3 1552488776081383040,13 36 01.61,48 28 45.56,DB+dM,14066.1308,7.884304,36.86,14.02,13.87
GD 408,Gaia EDR3 537563127588521600,00 05 07.52,73 13 11.34,DBAZ,13701.674,8.074401,34.50,14.33,
Gaia DR2 6008386881767536128,Gaia EDR3 6008386881767536128,15 49 37.81,-39 54 56.47,DB,,,37.80,14.41,
Gaia DR2 883006556929519872,Gaia EDR3 883006556929519872,07 03 57.36,25 34 17.44,DBA,11499.1717,7.965257,25.61,13.86,
HD 218572B,Gaia EDR3 6387649708219253248,23 10 23.05,-68 50 18.83,DB,10910.0,7.93,21.07,13.57,
LAWD 74,Gaia EDR3 4201781696994073472,19 20 34.86,-07 40 02.66,DBQA,11220.0,8.15,10.51,12.31,12.58
PG 1225-079,Gaia EDR3 3583181371265430656,12 27 47.23,-08 14 38.62,DBAZ,10800.0,8.0,32.73,14.8,
PHL 459,Gaia EDR3 2405805697263561600,23 19 35.66,-17 05 28.30,DBA,11227.0,8.066,25.55,14.08,
V* BV Cet,Gaia EDR3 2377863773908424448,00 43 45.82,-10 00 27.17,DBA,22247.0,8.93,31.13,,14.242
WD 0236-269,Gaia EDR3 5070533180139377792,02 38 41.26,-26 43 16.76,DB,6500.0,,35.04,16.6,
WD 0503+147,Gaia EDR3 3392181976588782336,05 06 15.82,14 48 28.98,DBA,14760.9095,7.920862,38.58,13.8,14.958
WD 0615-59,Gaia EDR3 5482551252566796928,06 16 14.16,-59 12 32.40,DB,15746.0,8.04,36.06,14.09,
