wdid|request|name|wdname|gaiaedr3|icrsra|icrsdec|spectype|teff|Dteff|logg|Dlogg|mass|Dmass|logL|DlogL|age|Dage|loghhe|logche|logch|lognh|logohe|logoh|lognahe|lognah|logmghe|logmgh|logalhe|logalh|logsihe|logsih|logphe|logph|logshe|logsh|logclhe|logcahe|logcah|logsche|logsch|logtihe|logtih|logvhe|logcrhe|logcrh|logmnhe|logmnh|logfehe|logfeh|logcohe|lognihe|lognih|logcuhe|logznhe|loggahe|loggehe|logsrhe|parallax|Dparallax|Dpc|DDpc|variability|ismag|binarity|BD|hasdisk|pmra|pmdec|comp|allnames|velU|velV|velW|B|DB|Mv|V|DV|R|DR|I|DI|J|DJ|H|DH|K|DK|su|Dsu|sg|Dsg|sr|Dsr|si|Dsi|sz|Dsz|PS_g|DPS_g|PS_r|DPS_r|PS_i|DPS_i|PS_z|DPS_z|PS_y|DPS_y|G|DG|BP|RP|EBmV|nbUV|nbOpt
* alf CMa B||Gaia EDR3 2947050466531873024|WD 0642-166|2947050466531873024|06 45 08.79|-16 43 15.36|DA|26083|378|8.61|0.04|0.94|0.11|-1.53||0.11||||||||||||||||||||||||||||||||||||||||||374.4895885|0.2313347|2.67||||WDMS|||-461.5705055|-914.5196209|H|Gaia DR2 2947050466531873024;NAME Sirius B;NAME Sirius BC;WD 0642-163;1RXS J064509.3-164241;Zkh 92;CCDM J06451-1643BC;8pc 379.21B;WDS J06451-1643BC;WD 0642-16;RE J0645-164;1ES 0642-16.6;HD 48915B;2RXF J064508.6-164240;UBV 6710;RE J064509-164243;2RE J0645-164;GJ 244 B;[BM83] X0642-166;EUVE J0645-16.7;WD 0643-16;H 0643-16;* alf CMa B;2E 1730;RE J0645-16;WD 0642-166;EGGR 49;BD-16 1591B;1E 064255-1639.3;1E 064255-1639.4;RX J0645.1-1642;CSI-16 1591 3;2E 0642.9-1638;GEN# +1.00048915B;IDS 06408-1635 B;NAME Sirius C;** AGC 1BC;2EUVE J0645-16.7;2RE J064509-164243;ADS 5423 B;Gaia EDR3 2947050466531873024;Sirius B;WDJ064509.30-164300.72;J0645-1642;J0645-1643;J0645-164;J0645-16.7;J0645-16|-0.6|-10.2|-14.5|8.41||11.22|8.44|0.06|||||||||||||||||||||||||||||||8.524133|0.043088283|8.120362|8.398789|0|2|1
* alf CMi B||J0739+0513|WD 0736+053||07 39 17.88|05 13 26.76|DQZ|7585|33|7.964||0.5541||-3.31||1.22|||-5.8551|||||||||||||||||||||||||||||||||||||||284.56||3.5142|0.0156|||WDMS|||-709|-1024|He|WD 0736+052;GJ 280 B;UBV 7350;CSI+05 1739 2;WDS J07393+0514B;EGGR 53;WD 0736+053;NAME Procyon B;2XMMi J073917.7+051324;2RXP J073918.2+051334;WD 0736+05;Zkh 107;BD+05 1739B;** SHB 1B;* alf CMi B;CCDM J07393+0514B;8pc 285.93B;ADS 6251 B;IDS 07341+0529 B;J0739+0513;Procyon B;J0739+0514;J0739+0513|0.6|-12|-18.4|11.19||13.21|10.94|0.05|10.79||10.67||||||||||||||||||||||||||||||||0|1|1
* omi02 Eri B||Gaia EDR3 3195919254111315712|WD 0413-077|3195919254111315712|04 15 19.39|-07 40 22.63|DA|17099|256|7.95|0.04|0.57|0.06|-1.85||0.12||||||||||||||||||||||||||||||||||||||||||199.6911|0.0512|5.01|||yes|WDMS|0.0073||-2236.169|-3338.955|H|CCDM J04153-0739B;GJ 166 B;Zkh 59;LTT 1908;Gaia DR2 3195919254110817408;CSI-07 781 1;WDS J04153-0739B;2E 957;2E 0412.9-0745;* omi02 Eri B;NLTT 12868;AAVSO 0410-07C;WD 0413-077;LFT 339;PMSC 04107-0748B;** STF 518B;WEB 3795;EGGR 33;GC 5140;GCRV 2441;LPM 182;LHS 24;LP 7-781 A;WD 0413-07;HD 26976;ADS 3093 B;8pc 198.24B;Ci 20 289;G 160-60;UCAC2 29035414;UBV 4141;GEN# +1.00026976B;WD 0413-074;UBV M 10045;* 40 Eri B;SAO 131065;BD-07 781;Gaia EDR3 3195919254111315712;40 Eri B;J0415-0739|-44.2|-34.8|-73|9.83||10.97|9.52|0.05|||||9.849||9.986||9.861||||||||||||||||||||||9.5422|0.0028|9.4811|9.6721|0|2|1
2MASS J00022257+6357443||Gaia EDR3 431635455820288128||431635455820288128|00 02 24.88|63 57 45.88|DC|4959|23|8.026|0.011|0.596|0.01|-4.18||6.55||||||||||||||||||||||||||||||||||||||||||38.05764102|0.058539525|26.28|||||||918.8258433|108.0548498|H|LSR J0002+6357;USNO-B1.0 1539-00001447;Gaia DR2 431635455820288128;LSPM J0002+6357;2MASS J00022257+6357443;TIC 418707388;PM J00023+6357;Gaia EDR3 431635455820288128;J0002+6357;WDJ000222.65+635744.14;2359+636;00023+6357;J0002+6357||||17.8||14.77|||16.2||||15.575|0.136|15.513|0.217|15.513|0.217|17.6419|0.00777|||||||||17.64189911|0.00777|16.99349976|0.004634|16.72260094|0.003196|16.64609909|0.00977|16.59110069|0.010103|17.00943|0.005917004|17.518332|16.36698|0.001|0|1
2MASS J01213782+3440431||Gaia EDR3 320029150076023808|WD 0118+344|320029150076023808|01 21 37.61|34 40 43.09|DZ|6798|28|8.086|0.008|0.627|0.007|-3.49||1.97||-4|||||||||||||||||||-10.85|||||||||||||||||||||25.78056021|0.06641323|38.79|||||||-139.3226037|7.256605599|He|WD 0118+344;2MASS J01213782+3440431;Gaia DR2 320029150076023808;SDSS J012137.74+344043.0;PM J01216+3440;TIC 61129836;Gaia EDR3 320029150076023808;J0121+3440;WDJ012137.80+344042.98;01216+3440;J0121+3440||||||13.66|||||||16.16655|0.01163|16.146|0.259|15.88|0.03|17.2341|0.00866|16.76||16.64||16.64||16.74||16.75040054|0.007648|16.64990044|0.00466|16.6718998|0.002049|16.7465992|0.002619|16.80509949|0.008498|16.611736|0.00536205|16.773214|16.32891|0.001|0|2
2MASS J01503855-7207164||Gaia EDR3 4686800224727589248|WD 0149-723|4686800224727589248|01 50 37.67|-72 07 20.27|DC|6840|60|8.13|0.03|||||||||||||||||||||||||||||||||||||||||||||||31.52925573|0.035032243|31.72|||||||-229.3575895|-232.9983541|He|WD 0149-723;2MASS J01503855-7207164;SCR J0150-7207;Gaia DR2 4686800224727589248;TIC 304102073;Gaia EDR3 4686800224727589248;015038.47-720716.54;SCR 0150-7207;WDJ015038.47-720716.54;J0150-7207||||16.19|||||15.72||15.24||15.65|0.05|15.64|0.12|15.42|0.18|||||||||||||||||||||16.232738|0.004012152|16.427723|15.897209|0.001|0|1
2MASS J02145697+7746000||Gaia EDR3 561231932144411008|WD 0209+775|561231932144411008|02 14 58.37|77 45 53.82|DC|4804|49|8.193|0.022|0.702|0.02|-3.89||8.95||||||||||||||||||||||||||||||||||||||||||25.19995979|0.10940883|39.68|||||||265.6958514|-379.2770698|H|LSPM J0214+7746;2MASS J02145697+7746000;TIC 395771880;WD 0209+775;PM J02149+7746;USNO-B1.0 1677-00021118;Gaia DR2 561231932144411008;Gaia EDR3 561231932144411008;J0214+7745;WDJ021457.04+774559.88;02149+7746;J0214+7746;J0214+7745||||19.2||14.32|||18||||17.5|0.03|15.89|0.03|15.89||18.958|0.01937|||||||||18.95800018|0.019367|18.29899979|0.010538|17.99690056|0.011844|17.89089966|0.009166|17.83539963|0.019750001|18.310844|0.024593873|18.86133|17.649282|0.002|0|2
2MASS J02230030+5544272||Gaia EDR3 457474219590579328|WD 0219+555|457474219590579328|02 23 00.45|55 44 25.94|DA|6781|36|8.281|0.008|0.77|0.008|-3.7||3.12||||||||||||||||||||||||||||||||||||||||||26.11146855|0.056634992|38.3|||||||124.3531816|-120.1004802|H|USNO-B1.0 1457-00078192;PM J02230+5544;TIC 348675220;2MASS J02230030+5544272;Gaia DR2 457474219590579328;LSPM J0223+5544;WD 0219+555;Gaia EDR3 457474219590579328;J0223+5544;WDJ022300.22+554427.86;02230+5544;J0223+5544||||17.2||14.14|||16.6||||15.78|0.2|15.68|0.2|15.678|0.237|17.08|0.005|||||||||17.0788002|0.00473|16.90690041|0.003937|16.86529922|0.005116|16.89710045|0.004389|16.91309929|0.0132|16.858673|0.003912368|17.058525|16.529926|0.001|0|2
2MASS J02494417+3307251||Gaia EDR3 139623068897753856|WD 0246+329|139623068897753856|02 49 44.43|33 07 29.83|DA|5706|13|7.99|0.006|0.58|0.006|-3.94||2.63||||||||||||||||||||||||||||||||||||||||||28.00653358|0.068367764|35.71|||||||178.4599221|260.64658|H|2MASS J02494417+3307251;PM J02497+3307;LSPM J0249+3307;SDSS J024944.28+330727.2;USNO-B1.0 1231-00049445;WD 0246+329;Gaia DR2 139623068897753856;TIC 77427181;Gaia EDR3 139623068897753856;J0249+3307;WDJ024944.20+330725.66;02497+3307;J0249+3307||||18||14.72|||16.7||||15.96682|0.01255|15.495|0.108|15.391|0.153|18.47874|0.01791|17.43||16.97||16.79||16.73||17.37260056|0.003872|16.97800064|0.004102|16.81970024|0.003182|16.78370094|0.003976|16.78039932|0.006118|16.986555|0.007217321|17.34158|16.48104|0.001|0|2
2MASS J03105758+6634022||Gaia EDR3 492442090962517376||492442090962517376|03 10 59.44|66 33 55.67|DC|4719|8|7.881|0.007|0.508|0.006|-4.19||5.9||||||||||||||||||||||||||||||||||||||||||26.04373801|0.09936344|38.4|||||||684.7164097|-435.7667289|H|TIC 275585500;LSR J0310+6634;Gaia DR2 492442090962517376;PM J03109+6634;2MASS J03105758+6634022;USNO-B1.0 1565-00064531;LSPM J0310+6634;Gaia EDR3 492442090962517376;J0310+6633;WDJ031057.60+663402.63;0306+663;03109+6634;J0310+6634;J0310+6633||||18.8||15.31|||17.7||||16.3|0.22|15.31|0.03|15.31||18.5909|0.0033|||||||||18.59090042|0.003457|17.86529922|0.003916|17.55920029|0.008859|17.46019936|0.011543|17.40649986|0.001509|17.885513|0.010863473|18.44308|17.198189|0.001|0|2
