SYSTEM (SDSS),q,S/N,T(K),Log(t_Ti),Log(t_Ca),Log(t_Ni),Log(t_Fe),Log(t_Cr),Log(t_Mg),Log(t_Na)
1535+1247,-5.54,57.94,5773,5.99,6.03,6.07,6.03,6.01,6.49,6.44
1330+3029,-5.51,41.29,6100,6,6.04,6.08,6.05,6.02,6.49,6.44
1229+0743,-5.53,10.63,6160,5.98,6.02,6.06,6.03,6,6.46,6.41
1616+3303,-5.46,19.16,6400,6.02,6.06,6.11,6.07,6.05,6.5,6.46
1158+0454,-5.62,6.05,5270,5.95,6.01,6.03,5.99,5.97,6.47,6.42
0744+4649,-5.72,21.98,5028,5.87,5.92,5.95,5.92,5.89,6.39,6.34
1040+2407,-5.62,14.26,5750,5.92,5.96,6,5.97,5.95,6.41,6.36
0807+4930,-5.7,4.12,5100,5.89,5.93,5.96,5.93,5.91,6.4,6.35
1014+2827,-5.59,3.85,6250,5.92,6.36,6.01,5.97,5.95,6.39,6.34
1234+5208,-5.37,16.57,7630,6.05,6.08,6.14,6.1,6.08,6.49,6.45
1430-0151,-5.64,8.27,6150,5.89,5.92,5.97,5.94,5.91,6.35,6.31
0901+0752,-5.51,13.18,7100,5.95,5.98,6.04,6,5.98,6.4,6.35
0916+2540,-5.82,21.06,5378,5.77,5.81,5.85,5.82,5.8,6.25,6.21
1132+3323,-5.5,4.72,6250,6,6.03,6.08,6.04,6.02,6.48,6.43
1351+2645,-5.59,7.7,5980,5.93,5.97,6.01,5.98,5.96,6.41,6.37
1024+1014,-5.61,4.62,6310,5.91,5.94,5.99,6.36,5.93,6.37,6.32
0806+4058,-5.34,21.08,6808,6.11,6.14,6.19,6.15,6.13,6.58,6.53
0116+2050,-5.42,18.53,6207,6.07,6.11,6.15,6.12,6.09,6.57,6.52
1043+3516,-5.3,11.82,6720,6.14,6.18,6.22,6.19,6.17,6.63,6.58
0741+3146,-5.4,8.54,5592,6.11,6.31,6.19,6.15,6.13,6.65,6.59
0150+1354,-5.56,8.03,6310,5.94,5.97,6.02,5.99,5.97,6.41,6.36
0512-0505,-5.51,45,5563,6.02,6.11,6.1,6.07,6.04,6.54,6.49
0852+3402,-5.51,6.43,5580,6.03,6.11,6.1,6.07,6.05,6.54,6.49
1524+4049,-5.47,11.27,5900,6.05,6.09,6.12,6.09,6.07,6.55,6.5
1336+3547,-5.38,28.44,6600,6.08,6.12,6.17,6.13,6.11,6.56,6.52
1321-0237,-5.6,4.76,5620,5.95,6.39,6.03,5.99,5.97,6.45,6.4
0937+5228,-5.39,16.23,6600,6.07,6.11,6.15,6.12,6.09,6.55,6.5
0758+1013,-5.59,3.92,5500,5.96,6.01,6.04,6.01,5.99,6.48,6.43
1411+3410,-5.64,5.32,5480,5.92,6.36,6,5.97,5.94,6.43,6.38
0929+4247,-5.4,8.39,6530,6.07,6.11,6.15,6.12,6.09,6.55,6.5
0736+4118,-5.68,11.75,5100,5.9,5.95,5.98,5.95,5.92,6.42,6.37
1220+0929,-5.39,9.38,6640,6.07,6.11,6.16,6.12,6.1,6.55,6.5
2230+1905,-5.61,4.61,5600,5.94,5.99,6.02,5.99,5.96,6.45,6.4
1649+2238,-5.62,7.18,5332,5.94,6.39,6.02,5.95,5.97,6.46,6.41
1549+1906,-5.41,4.56,6460,6.06,6.1,6.14,6.11,6.08,6.54,6.5
0939+5019,-5.56,6.65,5980,5.96,6,6.04,6.01,5.99,6.45,6.4
1038-0036,-5.28,51.05,7700,5.93,5.97,6.02,5.98,5.96,6.39,6.35
1542+4650,-5.56,5.66,6060,5.96,6,6.04,6.01,5.98,6.44,6.39
1546+3009,-5.39,12.08,6600,6.07,6.11,6.15,6.12,6.09,6.55,6.5
0252+0054,-5.23,8.17,7500,6.13,6.17,6.21,6.18,6.16,6.6,6.56
1445+0913,-5.46,5.82,6580,6.01,6.05,6.09,6.06,6.04,6.48,6.43
0939+4136,-5.48,7.14,6310,6.02,6.05,6.1,6.06,6.04,6.5,6.45
0047+1628,-5.51,7.56,6620,5.97,6.01,6.06,6.02,6,6.43,6.39
1102+2827,-5.54,3.41,6400,5.95,5.99,6.04,6,5.98,6.42,6.37
0956+5912,-5.3,17.71,8800,6.08,6.11,6.18,6.14,6.11,6.51,6.47
1038+0432,-5.56,8.28,6510,6.12,6.15,6.21,6.17,6.14,6.57,6.52
0906+1141,-5.41,5.24,6910,6.04,6.08,6.13,6.09,6.07,6.51,6.46
0823+0546,-5.37,35,6019,6.12,6.26,6.2,6.16,6.14,6.64,6.59
1345+1153,-5.58,6.2,6020,5.95,5.98,6.03,5.99,5.97,6.43,6.38
0913+4127,-5.56,4.12,5780,5.97,6.02,6.05,6.02,6,6.47,6.42
0816+2330,-5.33,5.3,7790,6.07,6.1,6.16,6.13,6.1,6.52,6.47
1144+1218,-5.47,12.97,5434,6.07,6.24,6.14,6.11,6.09,6.6,6.55
1636+1619,-5.56,6.31,4410,6.05,6.32,6.1,6.07,6.05,6.61,6.56
1518+0506,-5.47,10.89,5020,6.09,6.34,6.16,6.13,6.11,6.64,6.59
1147+5429,-5.52,3.21,5320,6.03,6.18,6.11,6.07,6.05,6.57,6.51
1257-0310,-5.45,5.55,6280,6,6.13,6.07,6.04,6.02,6.53,6.48
0925+3130,-5.47,14.5,5810,6.05,6.11,6.13,6.09,6.07,6.56,6.51
0019+2209,-5.38,8.57,5970,6.12,6.25,6.19,6.16,6.14,6.63,6.58
0108-0537,-5.46,9.81,6010,6.04,6.09,6.12,6.09,6.06,6.54,6.49
0744+4408,-5.39,5.58,6370,6.08,6.12,6.16,6.13,6.11,6.57,6.53
1329+1301,-5.33,9.61,6810,6.11,6.15,6.2,6.16,6.14,6.59,6.54
2123+0016,-5.38,8.02,5230,6.18,6.46,6.22,6.19,6.17,6.71,6.65
