Name,Type,Mass,error Mass (not used),Teff,error Teff (not used),log(g),error log(g) (not used),log(q),log(Al/Hx),error log(Al/Hx),log(Ti/Hx),error log(Ti/Hx),log(Ca/Hx),error log(Ca/Hx),log(Ni/Hx),error log(Ni/Hx),log(Fe/Hx),error log(Fe/Hx),log(Cr/Hx),error log(Cr/Hx),log(Mg/Hx),error log(Mg/Hx),log(Si/Hx),error log(Si/Hx),log(Na/Hx),error log(Na/Hx),log(O/Hx),error log(O/Hx),log(C/Hx),error log(C/Hx),log(N/Hx),error log(N/Hx),t_Al,t_Ti,t_Ca,t_Ni,t_Fe,t_Cr,t_Mg,t_Si,t_Na,t_O,t_C,t_N
SDSSJ0002+3209,He,0.737,,6466,,8.257,,-5.65959127,,,,,-9.1,0.2,,,-7.9,0.2,,,-7.4,0.2,,,,,,,,,,,637848.2049,374381.8152,467636.4813,322193.2102,331113.7257,350193.7445,719640.4154,642245.6118,723002.1421,1059518.203,1363888.238,1190332.754
SDSSJ0004+0819,He,0.6,,5843,,8,,-5.0969992,,,,,-8.8,0.2,,,-7.6,0.4,,,-7.2,0.2,,,,,,,,,,,2280228.66,1343143.455,1682373.427,1159488.378,1190952.389,1258619.338,2571011.386,2296821.263,2578429.136,3763667.077,4828541.851,4225121.478
SDSSJ0006+0520,He,0.478,,5783,,7.839,,-4.436313184,,,,,-9.8,0.2,,,-9.6,0.3,,,-8.6,0.5,,,,,,,,,,,9824648.341,5678442.201,7226320.337,4901691.897,5026140.382,5308908.125,11173766.96,9973532.665,11140154.31,16596542.13,21428728.85,18666977.74
SDSSJ0010-0430,He,0.651,,6903,,8.122,,-5.329306624,,,,,-8.5,0.1,,,-7,0.1,,,-6.7,0.1,,,,,,,,,,,1281657.549,771891.0405,960408.5109,671263.9806,687672.004,724549.3981,1439328.749,1293588.065,1440867.349,2065323.088,2612249.508,2303307.915
SDSSJ0013+1109,He,0.6,,6090,,8,,-4.9724,,,,,-9.2,0.4,,,-8,0.5,,,-7.5,0.4,,,,,,,,,,,2956105.98,1733005.735,2179636.139,1497614.375,1536031.068,1623304.528,3339919.505,2983293.624,3344845.02,4902301.301,6296453.494,5500979.164
SDSSJ0019+2209,He,0.365,,5797,,7.608,,-3.811352595,,,,,-9.7,0.2,,,-8.5,0.2,,,-8.4,0.2,,,-9.78,0.153179119,,,,,,,38401986.98,22475454.35,28686111.36,19557979.82,19992158.21,21073720.2,43658868.9,39190514.63,43264953.05,64047428.27,81706855.32,71679209.9
SDSSJ0044+0418,He,0.711,,6104,,8.22,,-5.462562624,,,,,-9.8,0.1,,,-8.4,0.2,,,-8.3,0.3,,,,,,,,,,,1007020.557,577785.0973,729720.8175,494876.8656,509099.1454,539551.3307,1142927.515,1014085.769,1148494.099,1710894.255,2229005.643,1932845.409
SDSSJ0046+2717,He,0.879,,8053,,8.465,,-6.35840496,,,,,-7.2,0.2,,,-6.3,0.3,,,-5.4,0.2,,,,,,,,,,,127661.3098,78943.61758,96746.13322,68957.05477,70698.30864,74326.18192,142161.3752,128408.9882,142902.6308,199890.1639,249605.9927,221402.4875
SDSSJ0047+1628,He,0.6,,6300,,8,,-5.1892,,,,,-8,0.2,,,-6.7,0.2,,,-6.8,0.2,,,-8.98,0.171579321,,,,,,,1803848.252,1092949.259,1354565.468,950604.7937,974540.7418,1027069.896,2020226.204,1817188.585,2023951.028,2889348.982,3644181.508,3212180.934
SDSSJ0052+1846,He,0.6,,5305,,8,,-5.12986,,,,,-9,0.3,,,-7.5,0.3,,,-7.1,0.2,,,,,,,,,,,2186351.576,1265843.454,1589132.099,1085425.449,1117840.911,1181952.436,2475825.319,2197556.248,2491724.371,3681798.361,4782114.826,4157574.116
