T:,5000,5250,5500,5750,6000,6250,6500,6750,7000,7250,7500,7750,8000,8250,8500,8750,9000,9250,9500,9750,10000,10250,10500,10750,11000,11250,11500,11750,12000,12250,12500,12750,13000,13250,13500,13750,14000,14250,14500,14750,15000,15250,15500,15750,16000,16250,16500,16750,17000,17250,17500,17750,18000,18250,18500,18750,19000,19250,19500,19750,20000
qcvz:,-7.594,-7.678,-7.865,-8.161,-8.503,-8.816,-9.066,-9.25,-9.394,-9.52,-9.638,-9.754,-9.865,-9.989,-10.113,-10.243,-10.386,-10.54,-10.72,-10.929,-11.168,-11.45,-11.773,-12.143,-12.551,-12.999,-13.504,-14.033,-14.578,-15.15,-15.959,-16.423,-16.629,-16.669,-16.776,-16.824,-16.874,-16.925,-16.976,-17.026,-17.017,-17.067,-17.13,-17.18,-17.229,-17.26,-17.318,-17.276,-17.276,-17.276,-17.216,-17.241,-17.241,-17.18,-17.204,-17.204,-17.144,-17.169,-17.169,-17.11,-17.149
2,4.402,4.321,4.181,3.963,3.721,3.503,3.34,3.222,3.133,3.06,2.992,2.92,2.854,2.78,2.706,2.631,2.545,2.453,2.34,2.211,2.059,1.883,1.653,1.394,1.099,0.771,0.376,-0.088,-0.58,-1.046,-1.647,-2.294,-2.898,-2.935,-3.333,-3.464,-3.602,-3.751,-3.906,-4.064,-3.888,-4.046,-4.277,-4.434,-4.591,-4.64,-4.848,-4.484,-4.372,-4.267,-3.887,-3.912,-3.829,-3.511,-3.535,-3.47,-3.205,-3.231,-3.18,-2.965,-3.031
3,4.178,4.094,3.953,3.742,3.509,3.3,3.136,3.017,2.927,2.849,2.776,2.705,2.638,2.562,2.487,2.407,2.32,2.224,2.11,1.977,1.823,1.642,1.358,0.978,0.523,0.117,-0.201,-0.561,-0.95,-1.344,-1.875,-2.176,-2.315,-2.346,-2.422,-2.457,-2.494,-2.532,-2.57,-2.607,-2.601,-2.639,-2.687,-2.725,-2.762,-2.786,-2.831,-2.798,-2.799,-2.8,-2.757,-2.776,-2.777,-2.736,-2.754,-2.756,-2.716,-2.735,-2.737,-2.698,-2.727
4,4.16,4.075,3.932,3.718,3.482,3.269,3.103,2.983,2.891,2.813,2.74,2.669,2.602,2.526,2.451,2.374,2.287,2.194,2.081,1.949,1.796,1.616,1.367,1.056,0.699,0.388,0.088,-0.238,-0.584,-0.956,-1.492,-1.851,-2.048,-2.077,-2.191,-2.234,-2.282,-2.331,-2.382,-2.433,-2.403,-2.454,-2.521,-2.572,-2.621,-2.646,-2.708,-2.634,-2.619,-2.606,-2.522,-2.54,-2.53,-2.456,-2.473,-2.466,-2.402,-2.42,-2.416,-2.358,-2.389
5,4.151,4.069,3.924,3.706,3.465,3.249,3.081,2.96,2.868,2.79,2.716,2.645,2.579,2.503,2.427,2.35,2.264,2.171,2.06,1.929,1.777,1.597,1.361,1.093,0.822,0.556,0.258,-0.088,-0.472,-0.912,-1.616,-2.136,-2.4,-2.431,-2.553,-2.598,-2.644,-2.691,-2.737,-2.782,-2.764,-2.81,-2.867,-2.91,-2.952,-2.976,-3.026,-2.981,-2.976,-2.971,-2.905,-2.924,-2.917,-2.843,-2.863,-2.854,-2.773,-2.793,-2.783,-2.697,-2.736
6,4.164,4.085,3.939,3.717,3.473,3.254,3.084,2.962,2.869,2.79,2.716,2.644,2.578,2.503,2.427,2.35,2.264,2.171,2.06,1.93,1.778,1.598,1.361,1.074,0.757,0.437,0.096,-0.257,-0.644,-1.09,-1.787,-2.343,-2.555,-2.584,-2.679,-2.718,-2.757,-2.797,-2.838,-2.878,-2.867,-2.907,-2.957,-2.996,-3.035,-3.059,-3.105,-3.067,-3.065,-3.063,-3.012,-3.031,-3.029,-2.976,-2.995,-2.992,-2.935,-2.955,-2.951,-2.888,-2.923
7,4.136,4.059,3.914,3.69,3.443,3.221,3.05,2.926,2.833,2.754,2.68,2.608,2.541,2.465,2.39,2.312,2.226,2.133,2.021,1.89,1.739,1.558,1.332,1.064,0.766,0.444,0.057,-0.357,-0.794,-1.24,-1.974,-2.498,-2.669,-2.698,-2.781,-2.817,-2.856,-2.895,-2.935,-2.975,-2.963,-3.003,-3.053,-3.093,-3.132,-3.155,-3.202,-3.162,-3.159,-3.157,-3.108,-3.127,-3.126,-3.079,-3.097,-3.097,-3.051,-3.07,-3.07,-3.023,-3.054
8,4.11,4.036,3.891,3.666,3.416,3.193,3.02,2.895,2.801,2.721,2.647,2.574,2.508,2.431,2.356,2.278,2.191,2.098,1.986,1.854,1.702,1.521,1.274,0.959,0.595,0.228,-0.136,-0.534,-0.962,-1.379,-2.14,-2.586,-2.742,-2.771,-2.855,-2.892,-2.93,-2.969,-3.009,-3.049,-3.037,-3.077,-3.129,-3.169,-3.21,-3.233,-3.282,-3.237,-3.234,-3.231,-3.179,-3.198,-3.197,-3.15,-3.168,-3.168,-3.124,-3.143,-3.143,-3.101,-3.13
9,4.057,3.985,3.841,3.616,3.365,3.14,2.965,2.84,2.745,2.664,2.589,2.516,2.449,2.372,2.297,2.218,2.131,2.038,1.925,1.792,1.639,1.457,1.204,0.881,0.508,0.142,-0.208,-0.59,-1.011,-1.442,-2.276,-2.671,-2.838,-2.868,-2.965,-3.006,-3.05,-3.096,-3.143,-3.191,-3.167,-3.215,-3.279,-3.328,-3.378,-3.402,-3.466,-3.392,-3.379,-3.369,-3.299,-3.317,-3.312,-3.253,-3.272,-3.269,-3.218,-3.237,-3.236,-3.19,-3.22
