1873 C O Si P S Ti V Cr Mn Co Ni Ga Ge Zr Nb Mo Hf Ta W Re Cu As Zn
C 12.805601038589 -20.3721085146387 9.75094278807413 6.95131202435312 6.09671886524066 0 -6.01403096445203 -4.85647488584475 -1.8381809032198 1.7446653601846 2.32982427574759 0 2.09217297878055 0 -22.7215851369942 -5.97899423892603 0 -169.917977438984 -6.37116993899052 0 3.96816205291733 12.9267202077178 0
O -20.0410265914585 -10.488224550094 -7.13737093741606 9.37509893455099 -17.1382997582595 -220.656481332259 -29.2851535500045 -11.709202256245 -4.73531274062136 1.88644856298684 1.39937935356791 0 0 -1503.47316680097 -46.5801163935894 1.2576954069299 -208.029384904647 -76.7652430835348 4.14383024442654 0 -3.54021917808219 0 0
Si 9.68912883875011 -7.1277040021488 12.4114305667472 11.9264535768645 8.9245036742448 242.627850299937 5.24043092827533 -0.0112635549438784 -3.21855128793721 0 1.15764974482944 0 0 0 -0.663640433342287 43 0 27.5697913868744 0 0 3.63082374429224 0 0
P 7.01786695317396 9.27954337899543 11.9487370400215 7.33401522070015 4.81136213387514 -7.74283105022831 -4.94756629957919 -3.78573623421971 -6.34603495899551 0.915576327334587 0.674190527352494 0 0 0 -5.255288029367 -0.322836422240129 0 0 -17.4954339362291 0 -8.19836557472568 0 0
S 6.13501020687026 -17.0774805264572 8.95440781026846 4.80584421251771 -5.64898737577223 -35.3427486793804 -3.76776535178575 -2.09474763060005 -5.68332935399096 0.587095896835575 -0.0229417505750724 0 3.80940277597922 -79.532602739726 -5.46072497321519 0.348889605157131 -35.2765064016474 -16.3999731399409 5.9076348104645 0 -2.24725788774388 0.81 0
Ti 0 -223.321192586624 243.411173784582 -7.20870624048706 -35.2306652341302 8.42283498970364 0 0 -9.71313134568896 0 0 0 0 0 0 0 0 0 0 0 0 0 0
V -5.94995266482236 -29.5970668815471 5.26234084511526 -4.91248706240487 -3.80052796627382 0 6.5708262870445 2.61728090249799 1.27878448162596 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cr -4.85440809383114 -9.8292989524577 0.0189122889287655 -3.76437747336378 -2.1 0 2.60547801951831 0.00467859253290359 0.900295827751828 -4.75770687114156 -0.00265237711522959 0 0 0 0 -0.00673005640612412 0 0 0 0 4.04957077625571 0 0
Mn -1.87644576954069 -4.75557185065807 -3.28544732742412 -6.33217594251727 -5.7285630633221 -9.71425373802489 1.2791512925549 0.90563511339663 0.0214936974943565 -0.898182667541829 -1.74674056642841 0 0 0 2.11151876527669 1.0980462460522 0 0.378277676508806 3.05043961498765 0 0 0 0
Co 1.75360932510122 1.89957668546871 0 0.917358295281583 0.582538487682591 0 0 -4.73270078854996 -0.903091287766073 1.18013901154983 0 0 0 0 0 0 0 0 0 0 0 0 0
Ni 2.33137647434549 1.37243620735966 1.1911125436476 0.674979604261796 -0.0215791760592023 0 0 0.00467859253290359 -1.74912474936706 0 0.118212427254007 0 0 0 0 0 0 0 0 0 0 0 0
Ga 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ge 2.26895693437192 0 0 0 3.78307674878273 0 0 0 0 0 0 0 1.79312561554302 0 0 0 0 0 0 0 0 0 0
Zr 0 -1514.8153639538 0 0 -80.1314262691378 0 0 0 0 0 0 0 0 11.3891958098308 0 0 0 0 0 0 0 0 0
Nb -22.7384112577635 -46.7291324200913 -0.659661563255439 -5.2951902587519 -5.471491717049 0 0 0 2.10255390476376 0 0 0 0 0 -0.663640433342287 0 0 0 0 0 0 0 0
Mo -5.98807637664256 1.26041885576148 43 -0.320048706240487 0.346584833019966 0 0 0.00467859253290359 1.10067217392048 0 0 0 0 0 0 3.98136846393876 0 0 0 0 0 0 0
Hf 0 -210.142680633897 0 0 -35.2306652341302 0 0 0 0 0 0 0 0 0 0 0 2.94966245859074 0 0 0 0 0 0
Ta -168.650287938973 -78.3575611066344 27.1019500402901 0 -16.7421165726565 0 0 0 0.388222943098597 0 0 0 0 0 0 0 0 79.737308622079 0 0 0 0 0
W -6.47219010153045 4.13992371743218 0 -17.7267736910238 5.96818319210411 0 0 0 3.05990755868067 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Re 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cu 3.98466635604794 -3.5695057749127 3.62025355895783 -8.15531158227833 -2.2580998886352 0 0 3.92358205748053 0 0 0 0 0 0 0 0 0 0 0 0 -5.37223744292238 0 0
As 13.1518757274599 0 0 0 0.92 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Zn 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
g0 0 0 0 0 0 -5.52 0 0 0.36 0 0 0 0 -3.3 -1.61 0 0 -3.22 0 0 2.14943391349987 0 0
