element v a b c d sigv siga sigb sigc sigd source
Fe 2 0 0 0 0 0 0 0 0 0 n
Hf 0 -99999 0 0 0 0 0 0 0 0 n
U 4 -7.6724 0 0 0 0 0 0 0 0 n
Mn 2 -0.02 -5600 38 0.036 0 0 0 6 0.01 c
Ni 2 0.46 2700 -61 0 0 0.16 300 6 0 f1
Cr 2 -0.3 -2200 -5 0 0 0.2 600 7 0 f2
Ga 3 3.5 -4800 -126 -0.97 0 0 0 36 0.15 c
Si 4 0.549 -12324 0 0 0 0.303 1689 0 0 si
Nb 5 4.09 -15500 -166 -0.75 0 0 0 31 0.16 c
Ta 5 7.74 -20000 -264 -1.69 0 0 0 81 0.53 c
Ti 4 3.46 -19000 -42 -0.11 0 0 0 52 0.16 c
Cu 1 0.3 2300 -37 0.14 0 0 0 45 0.17 c
Zn 2 -1.11 600 -23 -0.21 0 0 0 102 0.24 c
V 3 -1.5 -2300 9 0 0 0.3 700 9 0 f2
Co 2 0.36 1500 -33 0 0 0.15 300 5 0 f1
P 5 0.64 -1593 -74.95 0 0 0 0 0 0 ww
Pb 2 0.788 -2436 0 0 0 0 0 0 0 w
Tl 1 -0.118 -783 0 0 0 0 0 0 0 n
Ru 2 0.71 9841 0 0 0 0 0 0 0 n
Rh 2 0.13 9791 0 0 0 0 0 0 0 n
Pd 1 -0.77 9791 0 0 0 0 0 0 0 n
Re 2 0.25 10035 0 0 0 0 0 0 0 n
Pt 2 0.4 9791 0 0 0 0 0 0 0 n
W 4.52 3.2 -1605 -115 -0.85 0.52 0.0 0 15 0.07 ct
O -2 0.986 -3275 0 0 0 0.272 502 0 0 si
C 4 -1 4842 31 0 0 0.5 920 19 0 b
S -2 0 405 136 0 0 0 150 25 0 bo
