element v a b c d sigv siga sigb sigc sigd
Fe 2 0 0 0 0 0 0 0 0 0
Hf 0 -99999 0 0 0 0 0 0 0 0
U 4 -7.6724 0 0 0 0 0 0 0 0
Mn 2 -0.02 -5600 38 0.036 0 0 0 6 0.01
Ni 2 0.46 2700 -61 0 0 0.16 300 6 0
Cr 2 0.0 -2900 9 0 0 0.3 700 11 0
Ga 3 3.5 -4800 -126 -0.97 0 0 0 36 0.15
Si 4 1.3 -13500 0 0 0 0.3 900 0 0
Nb 5 4.09 -15500 -166 -0.75 0 0 0 31 0.16
Ta 5 7.74 -20000 -264 -1.69 0 0 0 81 0.53
Ti 4 3.46 -19000 -42 -0.11 0 0 0 52 0.16
Cu 1 0.3 2300 -37 0.14 0 0 0 45 0.17
Zn 2 -1.11 600 -23 -0.21 0 0 0 102 0.24
V 3 -0.3 -5400 19 0 0 0.6 1200 19 0
Co 2 0.36 1500 -33 0 0 0.15 300 5 0
P 5 0.64 -1593 -74.95 0 0 0 0 0 0
Pb 2 0.788 -2436 0 0 0 0 0 0 0
Tl 1 -0.118 -783 0 0 0 0 0 0 0
Ru 2 0.71 9841 0 0 0 0 0 0 0
Rh 2 0.13 9791 0 0 0 0 0 0 0
Pd 1 -0.77 9791 0 0 0 0 0 0 0
Re 2 0.25 10035 0 0 0 0 0 0 0
Pt 2 0.4 9791 0 0 0 0 0 0 0
W 4.52 3.2 -1605 -115 -0.85 0.52 0.0 0 15 0.07
O -2 0.6 -3800 22 0 0 0.4 900 14 0
C 4 -1 4842 31 0 0 0.5 920 19 0
